station_line,station,linename,objectid
VAN ALSTON-21STG,VAN ALSTON-21ST,G,154
PELHAM PARKWAY25,PELHAM PARKWAY,25,39
ALLERTON AV25,ALLERTON AV,25,257
BURKE AV25,BURKE AV,25,276
GUN HILL ROAD25,GUN HILL ROAD,25,40
219 ST25,219 ST,25,273
225 ST25,225 ST,25,248
233 ST25,233 ST,25,87
9 AVD,9 AV,D,390
FT HAMILTON PKYD,FT HAMILTON PKY,D,392
71 STD,71 ST,D,320
79 STD,79 ST,D,319
18 AVD,18 AV,D,322
20 AVD,20 AV,D,321
BAY PARKWAYD,BAY PARKWAY,D,314
NEW LOTS AVL,NEW LOTS AV,L,223
EAST 105 STL,EAST 105 ST,L,220
FLUSHING AVJM,FLUSHING AV,JM,372
MYRTLE AVJMZ,MYRTLE AV,JMZ,373
KOSCIUSZKO STJ,KOSCIUSZKO ST,J,300
GATES AVJZ,GATES AV,JZ,301
HALSEY STJ,HALSEY ST,J,75
GRANT AVA,GRANT AV,A,192
HUDSON-80 STA,HUDSON-80 ST,A,465
BOYD-88 STA,BOYD-88 ST,A,460
ROCKAWAY BLVDA,ROCKAWAY BLVD,A,104
174 ST25,174 ST,25,256
E TREMONT AV25,E TREMONT AV,25,272
E 180 ST25,E 180 ST,25,285
BRONX PARK EAST25,BRONX PARK EAST,25,44
8 AVN,8 AV,N,77
FT HAMILTON PKYN,FT HAMILTON PKY,N,312
18 AVN,18 AV,N,316
20 AVN,20 AV,N,315
BAY PKY-22 AVN,BAY PKY-22 AV,N,341
KINGS HIGHWAYN,KINGS HIGHWAY,N,332
AVENUE UN,AVENUE U,N,331
86 STN,86 ST,N,336
NEW UTRECHT AVND,NEW UTRECHT AV,ND,324
25 AVD,25 AV,D,313
BAY 50 STD,BAY 50 ST,D,335
CENTRAL AVM,CENTRAL AV,M,302
SENECA AVEM,SENECA AVE,M,234
FOREST AVEM,FOREST AVE,M,449
FRESH POND ROADM,FRESH POND ROAD,M,423
JACKSON AV25,JACKSON AV,25,253
PROSPECT AV25,PROSPECT AV,25,254
SIMPSON ST25,SIMPSON ST,25,43
FREEMAN ST25,FREEMAN ST,25,18
NYC & CO - 7 AV1,NYC & CO - 7 AV,1,3
PARK PLACES,PARK PLACE,S,82
BOTANIC GARDENS2345,BOTANIC GARDEN,S2345,281
KNICKERBOCKERM,KNICKERBOCKER,M,303
HOWARD BCH-JFKA,HOWARD BCH-JFK,A,242
BROAD CHANNELAS,BROAD CHANNEL,AS,99
BEACH 90 STAS,BEACH 90 ST,AS,17
BEACH 98 STAS,BEACH 98 ST,AS,183
BEACH 105 STAS,BEACH 105 ST,AS,16
ROCKAWAY PK 116AS,ROCKAWAY PK 116,AS,184
DITMAS AVF,DITMAS AV,F,69
AVENUE IF,AVENUE I,F,342
22 AV-BAY PKYF,22 AV-BAY PKY,F,339
AVENUE NF,AVENUE N,F,338
AVENUE PF,AVENUE P,F,337
AVENUE UF,AVENUE U,F,325
NEPTUNE AVF,NEPTUNE AV,F,333
MIDDLETOWN ROAD6,MIDDLETOWN ROAD,6,91
BUHRE AV6,BUHRE AV,6,26
PELHAM BAY PARK6,PELHAM BAY PARK,6,201
PELHAM PARKWAY5,PELHAM PARKWAY,5,126
DYRE AV5,DYRE AV,5,278
CHAUNCEY STJZ,CHAUNCEY ST,JZ,35
ALABAMA AVJ,ALABAMA AV,J,225
VAN SICLEN AVEJZ,VAN SICLEN AVE,JZ,12
CLEVELAND STJ,CLEVELAND ST,J,215
NORWOOD AVJZ,NORWOOD AV,JZ,13
CRESCENT STJZ,CRESCENT ST,JZ,227
RALPH AVC,RALPH AV,C,38
ROCKAWAY AVC,ROCKAWAY AV,C,117
LIBERTY AVC,LIBERTY AV,C,385
VAN SICLEN AVEC,VAN SICLEN AVE,C,214
SHEPHERD AVC,SHEPHERD AV,C,226
170 STBD,170 ST,BD,176
NEREID AV25,NEREID AV,25,41
138 ST-3 AV6,138 ST-3 AV,6,27
BROOK AV6,BROOK AV,6,292
CYPRESS AV6,CYPRESS AV,6,255
E 143 ST6,E 143 ST,6,258
E 149 ST6,E 149 ST,6,50
LONGWOOD AV6,LONGWOOD AV,6,250
WINTHROP ST25,WINTHROP ST,25,45
72 ST123,72 ST,123,162
23 ST-6 AVFM,23 ST-6 AV,FM,365
PROSPECT AVR,PROSPECT AV,R,381
25 STR,25 ST,R,393
HOYT ST23,HOYT ST,23,405
ORCHARD BEACH6,ORCHARD BEACH,6,201
MARCY AVJMZ,MARCY AV,JMZ,139
BROADWAY/LAFAYBDFQ6,BROADWAY/LAFAY,BDFQ6,433
AQUEDUCT TRACKA,AQUEDUCT TRACK,A,124
JFK HOWARD BCHA,JFK HOWARD BCH,A,242
JFK JAMAICA CT1E,JFK JAMAICA CT1,E,247
JFK JAMAICA CT2E,JFK JAMAICA CT2,E,247
INTERVALE-16325,INTERVALE-163,25,19
74 ST-BROADWAYEFMR7,74 ST-BROADWAY,EFMR7,231
74 ST-BROADWAYEFMR7,74 ST-BROADWAY,EFMR7,438
BAYCHESTER AV5,BAYCHESTER AV,5,277
NEW UTRECHT AVND,NEW UTRECHT AV,ND,323
125 STACBD,125 ST,ACBD,399
CANAL STJNQRZ6,CANAL ST,JNQRZ6,435
34 ST-HUDSON YD7,34 ST-HUDSON YD,7,470
96 ST-2 AVEQ,96 ST-2 AVE,Q,643
86 ST-2 AVEQ,86 ST-2 AVE,Q,642
72 ST-2 AVEQ,72 ST-2 AVE,Q,641
137 ST CITY COL1,137 ST-CITY COL,1,172
138/GRAND CONC45,138/GRAND CONC,45,141
14 ST-UNION SQ456LNQRW,14 ST-UNION SQ,456LNQRW,105
